action step turn crashed car_x car_v finished ped_x ped_y
- 0 0 0 15 5 0 46 2
Car 1 1 0 15 5 0 46 2
Car 2 2 0 20 5 0 46 2
Pedestrian 3 0 0 20 5 0 47 2
Car 4 1 0 20 5 0 47 2
Car 5 2 0 25 5 0 47 2
Pedestrian 6 0 0 25 5 0 47 3
Car 7 1 0 25 5 0 47 3
Car 8 2 0 30 5 0 47 3
Pedestrian 9 0 0 30 5 0 47 4
Car 10 1 0 30 5 0 47 4
Car 11 2 0 35 5 0 47 4
Pedestrian 12 0 0 35 5 0 47 5
Car 13 1 0 35 5 0 47 5
Car 14 2 0 40 5 0 47 5
Pedestrian 15 0 0 40 5 0 47 6
Car 16 1 0 40 5 0 47 6
Car 17 2 0 45 5 0 47 6
Pedestrian 18 1 1 45 5 0 47 6
Car 19 1 1 45 5 1 47 6
Car 20 1 1 45 5 1 47 6
