action step turn crashed car_x car_v visibility seen_ped finished ped_x ped_y
- 0 0 0 15 3 1 0 0 46 2
Car 1 1 0 15 3 0 0 0 46 2
Car 2 2 0 19 4 0 0 0 46 2
Pedestrian 3 0 0 19 4 0 0 0 47 2
Car 4 1 0 19 4 0 0 0 47 2
Car 5 2 0 24 5 0 0 0 47 2
Pedestrian 6 0 0 24 5 0 0 0 47 3
Car 7 1 0 24 5 0 0 0 47 3
Car 8 2 0 29 5 0 0 0 47 3
Pedestrian 9 0 0 29 5 0 0 0 47 4
Car 10 1 0 29 5 1 1 0 47 4
Car 11 2 0 33 4 1 1 0 47 4
Pedestrian 12 0 0 33 4 1 1 0 47 5
Car 13 1 0 33 4 1 1 0 47 5
Car 14 2 0 37 4 1 1 0 47 5
Pedestrian 15 0 0 37 4 1 1 0 47 6
Car 16 1 0 37 4 1 1 0 47 6
Car 17 2 0 41 4 1 1 0 47 6
Pedestrian 18 0 0 41 4 1 1 0 47 7
Car 19 1 0 41 4 1 1 0 47 7
Car 20 2 0 45 4 1 1 0 47 7
Pedestrian 21 1 1 45 4 1 1 0 47 7
Car 22 1 1 45 4 1 1 1 47 7
Car 23 1 1 45 4 1 1 1 47 7
